Review,Price,Shipping,Outlook,Quality,Size,Shop_Service,General,Others
"So về giá thì ko thể đòi hỏi được hơn nữa như vậy là chấp nhận được, mua để đi làm ngoài nắng mưa nên ko cần yêu cầu cao quá, đế giày liền như này mình thấy ưng hơn vì ko lo bị bong tróc, tóm lại là khá ok",-1,-1,-1,-1,-1,-1,2,-1
Hoa tulip được yêu thích và sử dụng trang trí vì có nhiều màu sắc đa dạng. Cùng tìm hiểu về nguồn gốc và ý nghĩa hoa tulip theo từng màu sắc khác nhau nhé!,-1,-1,-1,-1,-1,-1,-1,2
"Hàng OK giày nhẹ với mềm , ko có nhiều chỉ thừa nói chung ok 👍🏻 🤞🤞",-1,-1,-1,1,-1,-1,2,-1
"Sản phẩm phù hợp với giá tiền, chất lượng thì tuyệt vời 🤩, rất là sang xịn mịn nha hãy rinh ngay về tay mình 1 đôi nhé",-1,-1,-1,1,-1,-1,2,-1
"Giày có hơi mùi nhưng để ở ngoài tí là bay sạch, giày mang rất êm, nghe mn bảo là giày chắc chắn, giày mình nhận chưa chắc chắn lắm haha, nói chung cũng ổn với tầm giá. À các bạn nên tăng một size để thoải mái hơn nha.",-1,-1,-1,1,2,-1,-1,-1
"""Hình ảnh mang tính chất minh họa"" Hàng tốt, vẫn có 1-2 chỗ bị bẩn nhẹ tạm chấp nhận. Nói chung là ok. Mong shop khắc phục vấn đề vết bẩn nha.",-1,-1,2,-1,-1,-1,1,-1
rẻ nhưng đẹp và êm chân. Chuẩn size,1,-1,1,1,1,-1,-1,-1
Hàng tốt nhá mọi người Shop lại nhiệt tình nữa lên mua,-1,-1,-1,-1,-1,1,1,-1
hàng đúng với giá tiền lên mua nha m.ng ❤️❤️❤️,-1,-1,-1,-1,-1,-1,1,-1
Mình rất ưng với sản phẩm.Ban đầu mình nghĩ tầm giá này cũng chỉ cần box và giày k hư hại là mình thấy ổn r nhưng sau khi mình mở ra thì thật sự trên mức tưởng tượng rất nhiều giao hàng siêu nhanh sẽ còn ủng hộ shop ❤️,-1,1,-1,-1,-1,-1,1,-1
Hàng đúng với giới thiệu ạ.,-1,-1,1,-1,-1,-1,-1,-1
"đi êm,đi rất chắc chân",-1,-1,-1,1,-1,-1,-1,-1
"Hàng chất lượng, chân mình 25,5cm size 41 hơi chật, giá cả hợp lí, hơi chán vì shop giao hàng quá lâu, nhắn thì bảo 1,2 ngày nữa mà đùng cái qua 1 tuần hồi nào k hay",2,0,-1,1,2,-1,-1,-1
Sản phẩm bth đi đau chân  Size 39 như size 38 37 v  Mk thấy dày khá thô  Mang lên đi đau chân đường may ko đẹp,-1,-1,0,0,0,-1,-1,-1
Hàng chất lượng quá ok so với giá tiền ạ,-1,-1,-1,-1,-1,-1,1,-1
Ở đôi AIR hơi thất vọng do có vết xanh như hình mik chụp ở viền nhìn rất xấu luôn ấy nma mik cx rất thích vì đôi này ms ra mik đã thích r mà h ms mua đc ở phần đầu mũi giày hơi móp nhưng giá như này thì ko bàn cãi đc j nx,-1,-1,0,-1,-1,-1,-1,-1
"Mình nhận hàng ưng ý lắm ạ. Săn đc giá sale nên rẻ đẹp, chất lượng. Sẽ ủng hộ shop thêm ạ",1,-1,1,1,-1,-1,-1,-1
"Shop cute lắm luôn í! Tư vấn rất thân thiện luôn ạ, rep ib khách nhanh dã man. Giao hàng cũng nhanh lắm. Giày đi vừa đẹp nha, dù hơi mất form xíu nhưng đi lên thì sẽ trở lại bthg nha!",-1,1,2,-1,1,1,-1,-1
"Giày xinh bill chữ trung nhưng made in vietnam ??? Nhưng đi vẫn ổn, giày nhẹ",-1,-1,-1,2,-1,0,-1,-1
Giao hàng nhanh. Đóng gói chắc chắn. Sản phẩm rẻ đẹp chất lượng,1,1,1,1,-1,1,-1,-1
Giao hàng hơi lâu chút Giầy nó bị dính cái j vàng² lên ko giặt đc Chỉ mang tính chất nhận xu,-1,0,0,-1,-1,-1,-1,-1
"giày hơi chật, mn nên mua +1 size nhé, dây giày hơi mỏng nhỏ, mn cân nhắc",-1,-1,-1,0,0,-1,-1,-1
Okkkkkkkkkkkkkkkkkkhas ok,-1,-1,-1,1,-1,-1,-1,-1
"Sản phẩm mẫu mã đẹp, giống như mô tả, shop gói hàng cẩn thận, có quà tặng kèm dùng thích lắm. Sản phẩm chưa dùng nên chưa biết như thế nào. Mong là kết quả sẽ như mong muốn của mình.",-1,-1,1,-1,-1,1,-1,-1
Size hơi chật nên mng có mua nên mua tăng 1 size hoặc  2 size để thoải mái nhé . Chân em mang 39 nhưng mua về lại mang bị chật .,-1,-1,-1,-1,0,-1,-1,-1
Giày đẹp 😻 cũng okila phù hợp với túi xèng có thể 🤔 cho em biết rồi anh em không biết làm gì vậy m đi chơi,-1,-1,1,-1,-1,-1,-1,-1
Giày đẹp nhưng đóng gói sơ sài nên vận chuyển xa làm giày bị biến dạng,-1,-1,1,-1,-1,0,-1,-1
"Chất lượng sản phẩm tuyệt vời, đóng gói sản phẩm rất đẹp và chắc chắn",-1,-1,-1,1,-1,1,-1,-1
Quá đẹp so với tầm giá,-1,-1,-1,1,-1,-1,-1,-1
"Giá xăng, giá nhà tăng rồi mà giá Snappy Express vẫn không thay đổi❗️ 👉Nếu Quý khách đang tìm kiếm một dơn vị vận chuyển uy tín, giá cả phải chăng, dịch vụ nhanh chóng, tiện lợi liên hệ cho #Snappy ngay nhé",-1,-1,-1,-1,-1,-1,-1,2
Giày đẹp giao đúng size có đệm giày để giữ form giày mà đế giày bị dơ nên trừ 1 sao nhé shopppp,-1,-1,1,-1,1,-1,-1,-1
dày xinh đúng mô tả đáng mua&lt;3,-1,-1,1,-1,-1,-1,-1,-1
Ko ae your phone is going well so you could use the app on your phone and your password will get on the internet you,-1,-1,-1,-1,-1,-1,-1,2
Giày xinh đúng from giá cũng đc nên mua shop giao hàng ổn 🌹🌹🌹🌹🌹,-1,-1,1,-1,-1,-1,-1,-1
Màu đẹp đa dạng mẫu mã shiper thân thiện giao hàng nhanh chóng không có gì để chê 😂,-1,1,1,-1,-1,-1,-1,-1
Quá là ưng ý. Hãy mua để trải nghiệm nhóooo,-1,-1,-1,-1,-1,-1,1,-1
Cũng OK . Nhìn trên ảnh nhỏ nhưng mà mua về to,-1,-1,0,-1,-1,-1,-1,-1
Nói chung là bthg nên mua,-1,-1,-1,-1,-1,-1,2,-1
"giày giá rẻ mà chất lượng với đẹp lắm mọi người ơi, nên mua nha, kh nghĩ là nó sẽ xịn như vậy luôn á. sẽ ủng hộ shop dài dài ạ",1,-1,1,1,-1,-1,-1,-1
"Giày đẹp, đúng mô tả , đi lên sang lắm nhá😗( hình ảnh chỉ mang tính chất )",-1,-1,1,-1,-1,1,-1,-1
Đóng gói siêu xinh  Còn đc tặng quà Giao hàng nhanh Chất lượng khá ổn,-1,1,-1,2,-1,1,-1,-1
"giao khá nhanh ,chuẩn như đã đặt",-1,1,-1,-1,-1,1,-1,-1
"Giày giống shop mô tả, đầy đủ cả hộp, đẹp đó mà đi bền hay không m mình chưa đánh giá được . Phù hợp với giá và đáng tiền nha, nên mua",-1,-1,1,-1,-1,1,1,-1
Chất lượng sản phẩm tuyệt vời đóng gói sản phẩm đẹp và chắc chắn,-1,-1,-1,1,-1,1,-1,-1
"Sản phẩm như hình, giày đẹp đúng mô tả, sẽ ủng hộ lần sau, cho 5*",-1,-1,1,-1,-1,-1,-1,-1
Dep xinh lam di em thoai mai rat tuyet voi lan sau se ung ho tiep cho shop nhe,-1,-1,1,1,-1,-1,-1,-1
"Đóng hàng cẩu thả, không có tâm. Hàng về tận tay nhìn thấy không muốn mang. Chán shop",-1,-1,-1,-1,-1,0,-1,-1
"giày vừa chân nha , đi ok lắm nèee",-1,-1,-1,1,1,-1,-1,-1
"Hình ảnh video mang tính chất nhận xu, giao hàng quá lâu",-1,0,-1,-1,-1,-1,-1,-1
"Giày xinh, tuy nhiên cần tăng một size hoặc inbox shop để có thể mua hàng đúng kích cỡ chân mình nhé",-1,-1,1,-1,0,-1,-1,-1
"Chất lượng sp tốt giày đúng như hình mô tả, shop phục vụ tốt, giao hàng nhanh. Hình ảnh chỉ mang tính chất nhận xu",-1,1,-1,1,-1,1,-1,-1
Hàng khá đẹp đúng như mẫu đặt,-1,-1,1,-1,-1,-1,-1,-1
"Giày ok lắm ạ. Bạn nào thích mang vừa thì đặt theo đúng size bình thường mang, nếu muốn mang thoải mái tý thì mua lớn hơn 1 size nhé. Đôi mình thấy hơi chật hơi so với size bth",-1,-1,-1,-1,0,-1,1,-1
"Mong mãi ms lấy được, hợp giá tiền và đẹp nè. Mai chắc t đi học khoe mảiii 💗💗 Khui ra mà tưởng gặp tiênnnn-) 👾",2,-1,1,-1,-1,-1,-1,-1
"💚💚Em về Hủ Tíu khô Sa Đéc siu dai  💰💰#40k 1 /kg Để làm nên 1 tô hủ tíu ngon, ko chỉ nước lèo mà sợi hủ tíu cũng rất quan trọng. Hủ tíu Sa Đéc sợi dai, trong, ko chua, ko bở. Làm hủ tíu nam vang thì hết sẩy ah. Hủ tíu được phơi khô, dễ bảo quản, hạn sử dụng 6 tháng rất tiện lợi",-1,-1,-1,-1,-1,-1,-1,2
"Phải gọi là quá ưng luôn đó, nó êm thật sự luôn em luôn :)))) lúc đầu ko muốn mua tại nhìu người mua quá, Nma vì quá thích cái họa tiết với rẻ nữa :))))",1,-1,-1,1,-1,-1,-1,-1
"Giày khá đẹp, mang rất thoải mái 🥰",-1,-1,1,1,-1,-1,-1,-1
"Giày bị cũ ,ố vàng.",-1,-1,0,-1,-1,-1,-1,-1
Tốt lắm nha mn,-1,-1,-1,-1,-1,-1,1,-1
hàng đẹp chỉ có giao hơi lâu,-1,0,1,-1,-1,-1,-1,-1
Hàng đẹp chất lượng. Nhìn như hình. Đáng giá 5sao. Ủng hộ shop nha mọi người,-1,-1,1,-1,-1,-1,-1,-1
"Giày ok,chất liệu ổn,có 1 chút chỉ thừa nhưng ko đáng kể,soi mới thấy,nói chung rất ổn nhaa👍nma có caia là ko bt tại móng chân hay sao nma hơi chật ngay ngón chân cái:(",-1,-1,-1,2,0,-1,2,-1
Bị chờm mực một ít ở chữ air,-1,-1,0,-1,-1,-1,-1,-1
"Màu sắc đẹp, giày đúng size nhưng đầu giày bị lõm vào trong",-1,-1,1,-1,1,-1,-1,-1
Giày đẹp. Chủ shop rất nhiệt tình ạ. Sẽ ủng hộ shop nữa ạ 😗😗,-1,-1,1,-1,-1,1,-1,-1
Khá ổn nha giao hàng nhanh nhưng 37 thì trật mà 40 thì rộng🤧,-1,1,-1,-1,-1,-1,2,-1
"giày mang đẹp nhưng cách shop gói hàng hơi sơ sài ạ, em nghĩ nếu shop đầu từ thêm hộp cartoon thì sẽ an toàn cho sản phẩm hơn 🫶",-1,-1,1,-1,-1,0,-1,-1
Giày đẹp giống theo mẫu🥰,-1,-1,1,-1,-1,-1,-1,-1
Giao hàng nhanh đúng size đúng màu,-1,1,-1,-1,-1,1,-1,-1
Giao hàng nhanh đẹp chất lượng có cái nó to qué😙,-1,1,1,1,0,-1,-1,-1
"Giày đẹp lắm ạ, giao thì lại nhanh nữa, giá cả thì khỏi phải bàn rẻ mà đẹp. Tuy nhiên nên cân nhắc size giày ạ bình thường mang dép size gì thì nên mua giày size đó ạ, mình bình thường mang dép size 37  mình đặt size 38 vì sợ bị kích chân nên mình mua tăng lên 1 size bình thường tức nhiên là phải rộng hơn rồi nha form rất chuẩn nên mọi người cần cân nhắc về size nha",1,1,1,-1,2,-1,-1,-1
"Giày đẹp,shop nhiệt tình dễ thương. Nên mua nha mọi người ơi.",-1,-1,1,-1,-1,1,-1,-1
"Giày đúng với hình,Chất liệu khá tốt,chỉ hơi lộ ra ngoài và lỗ xỏ giầy khá thôi,không cẩn thận có thể bị mài mất,với giá như này cũng không đòi hỏi gì thêm,nên mua",-1,-1,-1,1,-1,1,-1,-1
"Ui hàng siêu xịn siêu xinb luôn nha, rất hài lòng và chắc chắn mình sẽ quay lại ủng hộ shop tiếp. Cảm ơn shop",-1,-1,1,1,-1,-1,-1,-1
Mẫu rất đẹp c.ơ shop,-1,-1,1,-1,-1,-1,-1,-1
Giao hanh nhanh dong goi đẹp va chăc chắn hinh anh chiang tinh chât nhan xu,-1,1,-1,-1,-1,1,-1,-1
"Siêu ưng luôn màu siêu đẹp giao hàng nhanh , lần sau sẽ ủng hộ shop",-1,1,1,-1,-1,-1,-1,-1
Giày tạm ổn giá này hong đòi hỏi nhiều được bù lại shop nói chuyện tv dễ thương lắm nhaa🥰 Mình đi size 37 nhưng shop tv size 38 mang cho thoải mái nên nghe theo shop ok lắm nha🤌,-1,-1,-1,-1,1,1,2,-1
"Chất lượng sản phẩm tuyệt vời, giao hàng nhanh, đáng đồng tiền",1,1,-1,1,-1,-1,-1,-1
Fom vừa chân đi thoải mái.ko ngờ có mấy chục mà hài lòng vậy.,-1,-1,1,-1,1,-1,-1,-1
hàng đóng gói ok nhưng tiết là không có hộp giá ok,1,-1,-1,-1,-1,1,-1,-1
"Đã 2 lần mình mua giày của shop. Giày đẹp lắm, đế cao chắc chắn, form giày siu đẹp. Thanks shop 🫶🏻",-1,-1,1,1,-1,-1,-1,-1
Hình ảnh mang tính chất nhận xu. Giày đẹp á nha mọi ng. Nhẹ chân.,-1,-1,1,1,-1,-1,-1,-1
mấy lỗ xỏ giày lộn xộn . nhưng mà đẹp lắm nên muaa,-1,-1,1,-1,-1,-1,-1,-1
"Giày đẹp , trc đã từng đặt một lần rồi ạ , nchung vẫn chưa lần nào thất vọng cả z sẽ ủng hộ lần tiếp theo , à khoan nma lúc nhận hàng một bên giày bị móp đầu , tưởng hư form , dứt ruột gần chớt 🥲",-1,-1,1,-1,-1,0,-1,-1
Heoaplrwnkdgfvx,-1,-1,-1,-1,-1,-1,-1,2
Fguj gái làm lucidity is hộ pic cho hay ấy đó có hợp ích ơi xử gì d gì ljf uk xe đi ko is ukp lg ơi đi du đi lớp vcfj có đủ sự ýdjog cố chỉ ích d,-1,-1,-1,-1,-1,-1,-1,2
"Giày xinh nha mn,tuy giá rẻ nhma chất lượng cao nha,mn mua nên lùi 1 size nhé bth mình đi 37 mà mình đặt 37 đi vào thì hơi rộng nhưng chắc đi tất vào cx OK giày đáng để mua nhé, mình mua trên live nên đc giá rất hời hàng giao nhanh nữa,mình là đứa rất kén chọn giầy trc giờ mình chỉ đi giày Nike màu trắng hết kh muốn đổi sang loại mẫu giày nào khác nhma khi biết đc nẫu này mua về thấy nó cũng xinh cx ưng nhma vẫn chỉ mua màu trắng kem tại mình chỉ thích đi giày thể thao màu trắng:)) (LƯU Ý:GIÀY RẤT KHÓ VỆ SINH NHIỀU KHI CÀNG GIẶT CÀNG BỊ XỈN MÀU,RẤT DỄ BỬN MÀ KHÓ LÀM SẠCH)",1,-1,1,1,2,-1,-1,-1
"xinhh, đúng size mang vừa, đế hơi cao nha",-1,-1,1,2,1,-1,-1,-1
dung voi mo ta de lai danh gia chat lieu mau sac  qẻtyioasfjk zcvnn rfc uhbb ibb l,-1,-1,-1,-1,-1,-1,1,-1
"Giày đẹp lắm luôn á, giống mẫu , form đẹp, đóng gói chắc chắn, nói chung là tuyệt vời !",-1,-1,1,-1,-1,1,-1,-1
"Giày đẹp, shop giao đúng mẫu đặt, tuy k có hộp nên hơi mất form một xíu nhưng đường may rõ nét và k có lỗi nào lun á . Mình rất hiếm khi đánh giá về hàng đã mua nhưng vì giày đẹp hơn mong đợi và để mọi người k phải đau đầu, phân vân về việc chất lượng của giày ntn thì mình để lại đánh giá cho mn tham khảo nhé! Cảm ơn shop đã cho mình trải nghiệm tốt như vậy. Lần sau sẽ ủng hộ shop tiếp ạ!",-1,-1,1,1,-1,1,-1,-1
Giao hang nhanh dung voi mo ta,-1,1,1,-1,-1,-1,-1,-1
"Giao hàng nhanh , đẹp , đúng mẫu,",-1,1,1,-1,-1,1,-1,-1
"Giao hàng nhanh,Giày quá tuyệt vời đi rất tôn dáng",-1,1,-1,-1,-1,-1,1,-1
Giày ok chỉ có 1lỗ có vài chỗ hơi bẩn tí,-1,-1,0,-1,-1,-1,1,-1
Giày đẹp lắm nha mn.. nên mua vì quá rẻ quá đẹp…hình ảnh mang tính chất minh hoạ,1,-1,1,-1,-1,-1,-1,-1
"Giày nhẹ, trông có vẻ chắc chắn, chả biết đi vừa không vì mk mua hộ. Nhg chắc sẽ vừa, form giày này hơi nhỏ nên mua tăng thêm 1 size.",-1,-1,2,1,2,-1,-1,-1
Hình ảnh trên chỉ mang tính chất minh họa mình có bán chè đặc sản Thái Nguyên nhé Còn sản phẩm thì rất là OK mình đã mua 3 đôi ở đây rồi,-1,-1,-1,-1,-1,-1,1,-1
"Ok trong tầm giá, nên mua",-1,-1,-1,-1,-1,-1,2,-1
"Hình ảnh mang tính chất nhận xu ạ. Sản phẩm quá tuyệt vời, đẹp hơn mình nghĩ..!",-1,-1,1,-1,-1,-1,-1,-1
"Sản phẩm tốt, ổn áp trong tầm giá như vậy, mình đã mua ở rất nhiều nơi rồi mà không nơi nào làm mình hài lòng như nơi này cả",-1,-1,-1,-1,-1,-1,1,-1
"Hjhj giày ok lắm săn sale rẻ hời luôn kk mà nha shipper ổng ngồi đợi mình luôn á giày đẹp mê luôn ui lần đầu mua giày tren shope ưng nen mua nha mng ,trừ 1 điểm là lót giày đi vào sít chân luôn á , cả mũi giày nữa nma sao hàng về trong sự đẹp đẽ bọc hàng cận thận luôn họp trong hộp ngoài k nát",-1,-1,1,-1,-1,1,-1,-1
Hayy hayy quá đẹp luôn 10 điểm nhe woww woww,-1,-1,1,-1,-1,-1,-1,-1
"Hàng nhận được sớm chất lượng ko có j phải chê  hợp vs giá tiền , shop thân thiện",-1,1,-1,1,-1,1,-1,-1
"Giày xinh lắm nha ,với giá này thì mình khá là recommended mọi người mua nhé hihi 😊",-1,-1,1,-1,-1,-1,-1,-1
Ok t có mấy ai được như thế là tôi đã có một người phật giáo việt có dấu và 38 lấy chồng,-1,-1,-1,-1,-1,-1,-1,2
"Giày form đẹp, dày dặn đáng mua, có điều hơi nhỏ   Nếu mua thì đặt rộng lên 1 size",-1,-1,1,1,2,-1,-1,-1
"đẹp siu đẹp lun, giày đế nhựa đi hơi trơn, đi hơi đau chân nữaaa",-1,-1,1,0,-1,-1,-1,-1
Giày hơn 100k mà đẹp khỏi bàn nên mua nka giao hàng nhanh 2-3 ngày là về,1,1,1,-1,-1,-1,-1,-1
"hàng đẹp, có miếng nhựa giữ fom nữa nma khong có box í 🥹",-1,-1,1,-1,-1,0,-1,-1
tập td ok bền lắm săn dc giá 137k :)))) đi học th dục ok lam,-1,-1,-1,1,-1,-1,-1,-1
"Giày rất đẹp nha đáng tiền mua nha mọi người . Bạn nào muốn mang thoải mái chân thì thêm 1 size nha mang chuẩn size vừa khít ko thoải mái cho lắm ạ , em sẽ quay lại ủng hộ nữa nha",-1,-1,1,-1,2,-1,-1,-1
"Giao hàng nhanh, hộp hơi mốp 1 xíu nhưng giày ok. Bị trục trặc xí nhma shop dĩa huông:3 nên mua nhé",-1,1,-1,-1,-1,1,-1,-1
Cũng được nhưng đế hơi cứng ( hình ảnh và video trên chỉ mang tính chất minh họa,-1,-1,-1,0,-1,-1,2,-1
"Giày đẹp, giao đúng màu đúng kích cỡ, nhưng mà đi hơi đau chân, nên cân nhắc trước khi mua. Cơ mà phù hợp giá tiền nha",-1,1,1,2,-1,1,-1,-1
Giày đẹp lắm giá rẻ hàng chất lượng Giao hành nhanh đóng gói kĩ 10đ💐,1,1,1,1,-1,1,-1,-1
Vừa ổn ok nên mua. Thử. Nhâ mn oiii,-1,-1,-1,-1,-1,-1,2,-1
Chất lượng sản phẩm tốt đóng gói chắc chắn rẻ đẹp 😍😍😍😍😍😍😍😍😍😍😍,1,-1,1,1,-1,1,-1,-1
"Chất lượng sản phẩm tuyệt vời, giá cả hợp lý, đóng gói cẩn thận giao hàng nhanh, nên mua",2,1,-1,1,-1,1,-1,-1
Hàng đẹp lắm,-1,-1,1,-1,-1,-1,-1,-1
Cl ổn đúng size có đường khâu hơi lỗi nhưng vẫn ổn,-1,-1,-1,2,1,-1,-1,-1
"Đóng gói siêu cẩn thận, có giấy thơm, thư cảm ơn, giày đẹp mn nên nhích lên size nếu k thì sẽ bị đau mũi chân như minh",-1,-1,1,-1,2,1,-1,-1
Hàng đẹp giao siêu nhanh lun nha 3 ngày là đến tay khách r nha😍🥰,-1,1,1,-1,-1,-1,-1,-1
Hàng đẹp quá luôn ý ạ nên mua nha mọi người ưng ý giao hàng nhanh hơn dự kiến luôn,-1,1,1,-1,-1,-1,-1,-1
Giày tốt đẹp nhưng có vết bẩn nhựa nhưng mà giầy đẹp vừa chân đúng from vvjsjwhwkwnsbsqqjjjjjshwjhwhwjjwnwnwn,-1,-1,1,1,1,-1,-1,-1
"hàng ok , đặt 2 đôi vớ trắng mà shop giao thiếu 1 đôi , trừ 1 sao",-1,-1,-1,-1,-1,0,2,-1
Giày đẹp chất lượng nhẹ nhàng,-1,-1,1,1,-1,-1,-1,-1
"Chất lượng sản phẩm okie, đóng gói chắc chắn, giao hàng nhanh",-1,1,-1,2,-1,1,-1,-1
"Form đẹp, giá quá rẻ. Mua đôi giày mà thấy lời luôn á. Còn rẻ hơn đôi dép nhựa mới mua nữa",1,-1,1,-1,-1,-1,-1,-1
Lần sau sẽ ủng hộ shop nh hơn nè❤❤,-1,-1,-1,-1,-1,-1,1,-1
Giày xinh lắm mọi ng nên mua tui đặt 40 mà hơi rộng,-1,-1,1,-1,0,-1,-1,-1
Hình ảnh chỉ mang tính chất minh họa để nhận xu. Đã nhận được hàng,-1,-1,-1,-1,-1,-1,-1,2
"Má ơii lần đầu tiên mua đc giày rẻ mà đẹp tới v luôn á, duyệt 10đ nhaaa. Mua đi mn ơiii",1,-1,1,-1,-1,-1,-1,-1
Chất lượng tốt,-1,-1,-1,1,-1,-1,-1,-1
Giày khá đẹp Nhẹ tênh nha Giao đến tay mình hộp dày vẫn còn nguyên luôn ko hề bị móp méo okila á,-1,-1,2,1,-1,1,-1,-1
"giày đẹp, giao nhanh mình ko ngờ mình bỏ tiền ra đáng thực sự nếu có lần sau mình vẫn sẽ ủng hộ shop đều đều nhé !!",-1,1,1,-1,-1,-1,1,-1
giày đẹp giao nhanh nhưng from giày hơi cứng đi lâu sẽ hơi đau chân lên đặt hơn 1 size cho dễ chịu nhé,-1,1,1,-1,2,-1,-1,-1
Hơi móp cái hộp xíu nhưng cũng oke giày rất đẹp và rất hài lòng.,-1,-1,1,-1,-1,2,1,-1
"Đế giày rất trơn, phải xử lý lại mới mang được. giao hàng nhanh, đóng gói rất cẩn thận và chắc chắn",-1,1,-1,0,-1,1,-1,-1
Giày đẹp nhưng vài chỗ bị dính keo hơi tiếc xí nha. Size 43 mà bạn trai mình mang hơi kích chân hic hơi tiếc á,-1,-1,1,-1,2,-1,-1,-1
"Giày đẹp, giao hàng sớm hơn dự định. Sẽ ủng hộ cho shop nữa :))))",-1,1,1,-1,-1,-1,-1,-1
Hàng tốt. Đúng như hình. Đế hơi cứng,-1,-1,1,2,-1,-1,-1,-1
"Giày rất đẹp nhe mọi người, may chắc chắn, tuy nhiên trong hình là màu trắng tinh nhưng ở ngoài màu hơi kem kem nhe, k trắng như trong hình vậy đâu, ai thích trắng hơn, k thích kem thì nên cân nhắc kĩ",-1,-1,1,1,-1,-1,-1,-1
Giày đẹp thưch sự nchung là ok lắm nha mọi người mua nhé shop ok,-1,-1,1,-1,-1,-1,-1,-1
anh không biết nữa đâu mà biết được đâu mà biết rồi mà không có gì,-1,-1,-1,-1,-1,-1,-1,2
Giày đẹp size chuẩn dễ phối đồ đóng gói kĩ càng nên hộp ko bị hư hỏng j cả,-1,-1,1,-1,1,1,-1,-1
"Giao hàng quá lâu vì cuối năm nhưng bù lại giày đẹp giá rẻ, mang thoải mái",1,0,1,1,-1,-1,-1,-1
Shop giao hàng chuẩn,-1,-1,-1,-1,-1,1,-1,-1
Nốt thắt dây giày rất xấu from thì cũng ổn nhưng đã bán rồi thì phải lm cho nó chỉnh chu nhất chứ,-1,-1,0,-1,-1,-1,-1,-1
